Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,0.20,0.20,0.20,0.20,2330700,0.20
2014-06-30,0.20,0.20,0.20,0.20,5263100,0.20
2014-06-27,0.21,0.21,0.20,0.20,2637900,0.20
2014-06-26,0.20,0.21,0.20,0.20,2006800,0.20
2014-06-25,0.21,0.21,0.20,0.20,3045100,0.20
2014-06-24,0.22,0.22,0.20,0.21,3420500,0.21
2014-06-23,0.22,0.22,0.21,0.21,3198800,0.21
2014-06-20,0.21,0.22,0.20,0.22,5452600,0.22
2014-06-19,0.20,0.21,0.20,0.21,2037100,0.21
2014-06-18,0.20,0.20,0.20,0.20,1832600,0.20
2014-06-17,0.20,0.20,0.19,0.20,2562400,0.20
2014-06-16,0.21,0.22,0.19,0.19,2621900,0.19
2014-06-13,0.20,0.21,0.19,0.20,1770100,0.20
2014-06-12,0.20,0.21,0.20,0.20,1626900,0.20
2014-06-11,0.20,0.21,0.19,0.20,1338400,0.20
2014-06-10,0.21,0.22,0.19,0.21,2305300,0.21
2014-06-09,0.22,0.22,0.20,0.20,3951300,0.20
2014-06-06,0.22,0.22,0.21,0.21,2072000,0.21
2014-06-05,0.22,0.22,0.21,0.22,1940300,0.22
2014-06-04,0.21,0.23,0.19,0.21,3475300,0.21
2014-06-03,0.22,0.23,0.21,0.21,6753300,0.21
2014-06-02,0.20,0.22,0.20,0.22,6794800,0.22
2014-05-30,0.19,0.21,0.18,0.20,3463800,0.20
2014-05-29,0.19,0.20,0.19,0.19,1920000,0.19
2014-05-28,0.19,0.19,0.18,0.19,2803900,0.19
2014-05-27,0.19,0.20,0.18,0.19,5812900,0.19
2014-05-23,0.19,0.20,0.18,0.19,2784400,0.19
2014-05-22,0.18,0.19,0.18,0.18,2434900,0.18
2014-05-21,0.19,0.19,0.18,0.18,4704100,0.18
2014-05-20,0.19,0.20,0.18,0.18,3180700,0.18
2014-05-19,0.19,0.20,0.19,0.19,2875500,0.19
2014-05-16,0.20,0.21,0.19,0.19,3006600,0.19
2014-05-15,0.21,0.21,0.19,0.21,2981900,0.21
2014-05-14,0.19,0.21,0.19,0.21,3956600,0.21
2014-05-13,0.19,0.20,0.19,0.19,4934900,0.19
2014-05-12,0.18,0.19,0.18,0.19,2587000,0.19
2014-05-09,0.19,0.19,0.18,0.18,3708100,0.18
2014-05-08,0.19,0.19,0.18,0.18,4622500,0.18
2014-05-07,0.19,0.19,0.19,0.19,1885300,0.19
2014-05-06,0.19,0.20,0.19,0.19,2126900,0.19
2014-05-05,0.18,0.20,0.18,0.19,3897500,0.19
2014-05-02,0.19,0.19,0.18,0.19,2900500,0.19
